name,cop_density,initial_agent_density,vision,government_legitimacy,max_jail_term
exp1VeryHighCop_GoodGovernment,0.56,0.02,9,0.77,12
exp2,0.25,0.54,3,0.41,30
exp3SuperHighCop,0.84,0.02,8,0.53,19
exp4LowCop_LowVision_BadGovernment,0.06,0.41,2,0.07,33
exp5MediumCop_BadGovernment,0.19,0.43,4,0.04,48
exp6_low_cop_bad_govern_long_jail,0.06,0.5,7,0.10,50
exp7_mid_cop_good_govern_short_jail_mode,0.2,0.6,5,0.85,15
exp8_hig_vis_low_cop_bad_gover_jail_time_any_high,0.05,0.65,10,0.15,40
exp9_chaos_peak,0.08,0.75,8,0.35,10

High_cop_density
Low_cop_density
Low_agent_initial
High_agent_initial
Small_vision_radius
High_vision_radius
Bad_government
Good_Government



exp1VeryHighCop_GoodGovernment,0.56,0.02,9,0.77,12
exp2,0.25,0.54,3,0.41,30
exp3,0.84,0.02,8,0.53,19
exp4,0.06,0.41,2,0.07,33
exp5,0.19,0.43,4,0.04,48
exp6,0.58,0.31,6,0.93,7
exp7,0.47,0.14,5,0.71,40
exp8,0.41,0.02,2,0.87,23
exp9,0.59,0.09,5,0.36,35
exp10,0.78,0.12,8,0.5,11
exp10new,0.04,0.7,7,0.82,30
