Time,Quiet,Active,Jailed
0,1120,0,0
1,1078,1,41
2,1079,0,41
3,1078,0,42
4,1082,0,38
5,1081,0,39
6,1081,0,39
7,1081,0,39
8,1081,0,39
9,1082,0,38
10,1082,0,38
11,1082,0,38
12,1084,0,36
13,1086,0,34
14,1088,0,32
15,1089,0,31
16,1013,34,73
17,767,218,135
18,610,315,195
19,615,255,250
20,616,200,304
21,621,143,356
22,625,87,408
23,664,18,438
24,703,0,417
25,716,0,404
26,736,0,384
27,746,0,374
28,757,0,363
29,771,0,349
30,788,0,332
31,804,0,316
32,810,4,306
33,793,11,316
34,825,0,295
35,844,0,276
36,866,1,253
37,878,1,241
38,882,1,237
39,896,0,224
40,916,0,204
41,901,5,214
42,919,0,201
43,934,0,186
44,957,0,163
45,974,0,146
46,993,0,127
47,1007,0,113
48,990,8,122
49,876,77,167
50,674,232,214
51,626,236,258
52,619,192,309
53,626,137,357
54,629,89,402
55,664,22,434
56,693,0,427
57,702,0,418
58,716,0,404
59,730,0,390
60,745,0,375
61,763,0,357
62,780,0,340
63,799,0,321
64,809,0,311
65,825,0,295
66,840,0,280
67,860,0,260
68,875,0,245
69,891,0,229
70,899,0,221
71,916,0,204
72,936,0,184
73,909,14,197
74,744,132,244
75,642,194,284
76,626,166,328
77,634,117,369
78,652,64,404
79,689,14,417
80,725,0,395
81,742,0,378
82,773,0,347
83,790,0,330
84,806,0,314
85,822,2,296
86,791,15,314
87,821,0,299
88,833,0,287
89,844,0,276
90,858,0,262
91,867,0,253
92,890,0,230
93,897,0,223
94,910,0,210
95,898,3,219
96,911,0,209
97,927,0,193
98,945,0,175
99,851,53,216
100,695,161,264
101,631,184,305
102,635,145,340
103,640,97,383
104,656,47,417
105,704,3,413
106,727,0,393
107,747,0,373
108,759,0,361
109,780,0,340
110,796,0,324
111,820,0,300
112,834,3,283
113,844,0,276
114,862,0,258
115,877,0,243
116,893,0,227
117,904,0,216
118,920,0,200
119,936,0,184
120,950,0,170
121,922,11,187
122,898,13,209
123,815,59,246
124,703,128,289
125,636,157,327
126,626,123,371
127,636,71,413
128,684,3,433
129,713,0,407
130,733,0,387
131,762,0,358
132,782,0,338
133,799,0,321
134,821,0,299
135,844,0,276
136,858,0,262
137,862,0,258
138,878,0,242
139,893,0,227
140,875,5,240
141,860,7,253
142,874,0,246
143,882,0,238
144,903,0,217
145,919,0,201
146,935,0,185
147,950,0,170
148,948,0,172
149,963,0,157
150,974,0,146
151,988,0,132
152,1003,0,117
153,1022,0,98
154,946,34,140
155,757,168,195
156,631,245,244
157,611,206,303
158,618,147,355
159,627,92,401
160,668,12,440
161,700,0,420
162,714,0,406
163,729,0,391
164,749,1,370
165,766,0,354
166,786,0,334
167,808,0,312
168,823,0,297
169,833,0,287
170,852,0,268
171,861,0,259
172,878,0,242
173,879,0,241
174,898,0,222
175,919,0,201
176,935,0,185
177,927,5,188
178,946,0,174
179,965,0,155
180,983,0,137
181,982,0,138
182,808,127,185
183,624,260,236
184,624,214,282
185,631,168,321
186,628,127,365
187,640,71,409
188,688,10,422
189,715,0,405
190,740,0,380
191,757,0,363
192,768,0,352
193,786,0,334
194,809,0,311
195,823,0,297
196,804,9,307
197,824,0,296
198,840,0,280
199,845,1,274
200,865,0,255
