quiet_track_0,active_track_0,jailed_track_0,quiet_track_1,active_track_1,jailed_track_1,quiet_track_2,active_track_2,jailed_track_2,quiet_track_3,active_track_3,jailed_track_3,quiet_track_4,active_track_4,jailed_track_4
1120,0,0,1120,0,0,1120,0,0,1120,0,0,1120,0,0
1099,1,20,1083,6,31,1101,1,18,1102,0,18,1079,3,38
1099,0,21,1086,0,34,1097,0,23,1102,0,18,1082,0,38
1100,0,20,1087,0,33,1098,0,22,1102,0,18,1086,0,34
1100,0,20,1086,0,34,1098,0,22,1104,0,16,1084,0,36
1099,0,21,1089,0,31,1097,0,23,1102,0,18,1085,0,35
1099,0,21,1090,0,30,1097,0,23,1103,0,17,1086,0,34
1100,0,20,1091,0,29,1098,0,22,1102,0,18,1086,0,34
1101,0,19,1091,0,29,1099,0,21,1103,0,17,1085,0,35
1100,0,20,1089,0,31,1099,0,21,1102,0,18,1088,0,32
1100,0,20,1090,0,30,1099,0,21,1102,0,18,1085,0,35
1101,0,19,1091,0,29,1099,0,21,1102,0,18,1087,0,33
1103,0,17,1092,0,28,1100,0,20,1103,0,17,1087,0,33
1102,0,18,1092,0,28,1099,0,21,1103,0,17,1087,0,33
1101,0,19,1091,0,29,1100,0,20,1103,0,17,1086,0,34
1100,0,20,1092,0,28,1103,0,17,1102,0,18,1088,0,32
1101,0,19,1092,0,28,1101,0,19,1105,0,15,1087,0,33
1102,0,18,1093,0,27,1103,0,17,1103,0,17,1088,0,32
1100,0,20,1094,0,26,1101,0,19,1104,0,16,1090,0,30
1102,0,18,1095,0,25,1101,0,19,1102,0,18,1088,0,32
1101,0,19,1096,0,24,1103,0,17,1102,0,18,1089,0,31
1101,0,19,1096,0,24,1101,0,19,1103,0,17,1088,0,32
1100,0,20,1099,0,21,1101,0,19,1104,0,16,1089,0,31
1103,0,17,1101,0,19,1103,0,17,1103,0,17,1092,0,28
1102,0,18,1104,0,16,1102,0,18,1103,0,17,1089,0,31
1100,0,20,1104,0,16,1103,0,17,1104,0,16,1091,0,29
1102,0,18,1104,0,16,1105,0,15,1104,0,16,1093,0,27
1102,0,18,1105,0,15,1102,0,18,1103,0,17,1097,0,23
1101,0,19,1105,0,15,1102,0,18,1103,0,17,1095,0,25
1100,0,20,1107,0,13,1102,0,18,1103,0,17,1095,0,25
1103,0,17,1111,0,9,1105,0,15,1107,0,13,1098,0,22
1101,0,19,1109,0,11,1102,0,18,1103,0,17,1096,0,24
1101,0,19,1108,0,12,1102,0,18,1103,0,17,1097,0,23
