quiet_track_0,active_track_0,jailed_track_0,cop_track_0,agent_track_0,quiet_track_1,active_track_1,jailed_track_1,cop_track_1,agent_track_1,quiet_track_2,active_track_2,jailed_track_2,cop_track_2,agent_track_2,quiet_track_3,active_track_3,jailed_track_3,cop_track_3,agent_track_3,quiet_track_4,active_track_4,jailed_track_4,cop_track_4,agent_track_4
1120,0,0,160,1120,1120,0,0,160,1120,1120,0,0,160,1120,1120,0,0,160,1120,1120,0,0,160,1120
965,0,78,237,1043,939,0,82,259,1021,955,0,65,260,1020,943,0,84,253,1027,953,0,60,267,1013
957,0,75,248,1032,921,0,90,269,1011,942,0,69,269,1011,926,0,88,266,1014,936,0,67,277,1003
957,0,75,248,1032,922,0,89,269,1011,945,0,66,269,1011,927,0,87,266,1014,938,0,65,277,1003
955,0,77,248,1032,921,0,90,269,1011,943,0,68,269,1011,926,0,88,266,1014,936,0,67,277,1003
954,0,78,248,1032,924,0,87,269,1011,942,0,69,269,1011,926,0,88,266,1014,939,0,64,277,1003
954,0,78,248,1032,920,0,91,269,1011,945,0,66,269,1011,928,0,86,266,1014,936,0,67,277,1003
954,0,78,248,1032,924,0,87,269,1011,943,0,68,269,1011,933,0,81,266,1014,937,0,66,277,1003
958,0,74,248,1032,921,0,90,269,1011,947,0,64,269,1011,928,0,86,266,1014,937,0,66,277,1003
956,0,76,248,1032,923,0,88,269,1011,944,0,67,269,1011,929,0,85,266,1014,940,0,63,277,1003
954,0,78,248,1032,924,0,87,269,1011,945,0,66,269,1011,925,0,89,266,1014,939,0,64,277,1003
959,0,73,248,1032,925,0,86,269,1011,942,0,69,269,1011,930,0,84,266,1014,938,0,65,277,1003
957,0,75,248,1032,925,0,86,269,1011,947,0,64,269,1011,929,0,85,266,1014,937,0,66,277,1003
956,0,76,248,1032,923,0,88,269,1011,949,0,62,269,1011,927,0,87,266,1014,939,0,64,277,1003
957,0,75,248,1032,922,0,89,269,1011,948,0,63,269,1011,931,1,82,266,1014,942,0,61,277,1003
