quiet_track_0,active_track_0,jailed_track_0,cop_track_0,agent_track_0
1120,0,0,320,1120
622,178,320,320,1120
589,0,531,320,1120
613,0,507,320,1120
613,0,507,320,1120
633,0,487,320,1120
623,0,497,320,1120
635,0,485,320,1120
644,1,475,320,1120
666,0,454,320,1120
670,0,450,320,1120
672,0,448,320,1120
683,0,437,320,1120
703,0,417,320,1120
707,0,413,320,1120
703,1,416,320,1120
717,0,403,320,1120
737,0,383,320,1120
743,1,376,320,1120
743,2,375,320,1120
766,0,354,320,1120
764,1,355,320,1120
777,2,341,320,1120
794,1,325,320,1120
808,3,309,320,1120
813,1,306,320,1120
809,0,311,320,1120
812,0,308,320,1120
809,0,311,320,1120
813,1,306,320,1120
807,1,312,320,1120
816,1,303,320,1120
804,0,316,320,1120
815,0,305,320,1120
809,1,310,320,1120
805,0,315,320,1120
809,1,310,320,1120
811,0,309,320,1120
811,0,309,320,1120
813,0,307,320,1120
818,0,302,320,1120
824,2,294,320,1120
814,0,306,320,1120
813,0,307,320,1120
811,1,308,320,1120
811,0,309,320,1120
817,0,303,320,1120
806,0,314,320,1120
811,0,309,320,1120
819,0,301,320,1120
819,0,301,320,1120
818,0,302,320,1120
813,0,307,320,1120
813,2,305,320,1120
809,0,311,320,1120
806,1,313,320,1120
809,0,311,320,1120
809,1,310,320,1120
816,0,304,320,1120
813,1,306,320,1120
814,0,306,320,1120
811,2,307,320,1120
825,1,294,320,1120
815,2,303,320,1120
811,0,309,320,1120
811,1,308,320,1120
805,0,315,320,1120
810,0,310,320,1120
810,1,309,320,1120
810,0,310,320,1120
810,0,310,320,1120
818,0,302,320,1120
812,0,308,320,1120
812,0,308,320,1120
809,0,311,320,1120
812,1,307,320,1120
815,1,304,320,1120
818,1,301,320,1120
804,1,315,320,1120
815,0,305,320,1120
816,0,304,320,1120
809,4,307,320,1120
813,1,306,320,1120
817,1,302,320,1120
820,0,300,320,1120
814,0,306,320,1120
811,1,308,320,1120
809,2,309,320,1120
811,1,308,320,1120
807,0,313,320,1120
805,0,315,320,1120
824,0,296,320,1120
813,0,307,320,1120
809,0,311,320,1120
818,0,302,320,1120
813,0,307,320,1120
809,1,310,320,1120
808,0,312,320,1120
813,0,307,320,1120
817,0,303,320,1120
812,0,308,320,1120
814,1,305,320,1120
818,0,302,320,1120
811,2,307,320,1120
821,1,298,320,1120
823,0,297,320,1120
817,2,301,320,1120
813,0,307,320,1120
817,0,303,320,1120
812,1,307,320,1120
813,0,307,320,1120
810,0,310,320,1120
814,0,306,320,1120
814,1,305,320,1120
807,0,313,320,1120
807,0,313,320,1120
812,0,308,320,1120
808,1,311,320,1120
818,3,299,320,1120
811,0,309,320,1120
812,0,308,320,1120
815,1,304,320,1120
808,0,312,320,1120
819,0,301,320,1120
814,4,302,320,1120
815,0,305,320,1120
809,1,310,320,1120
819,0,301,320,1120
812,1,307,320,1120
817,0,303,320,1120
810,0,310,320,1120
824,1,295,320,1120
812,2,306,320,1120
805,0,315,320,1120
815,1,304,320,1120
811,1,308,320,1120
804,0,316,320,1120
812,0,308,320,1120
818,1,301,320,1120
811,1,308,320,1120
806,1,313,320,1120
814,0,306,320,1120
806,0,314,320,1120
826,0,294,320,1120
807,0,313,320,1120
810,0,310,320,1120
808,0,312,320,1120
819,1,300,320,1120
806,1,313,320,1120
813,0,307,320,1120
817,0,303,320,1120
810,1,309,320,1120
823,2,295,320,1120
805,0,315,320,1120
824,1,295,320,1120
813,0,307,320,1120
810,0,310,320,1120
806,0,314,320,1120
816,0,304,320,1120
806,0,314,320,1120
815,0,305,320,1120
815,0,305,320,1120
807,0,313,320,1120
816,0,304,320,1120
816,0,304,320,1120
810,1,309,320,1120
813,0,307,320,1120
816,0,304,320,1120
812,1,307,320,1120
811,0,309,320,1120
804,3,313,320,1120
810,2,308,320,1120
818,0,302,320,1120
812,1,307,320,1120
807,1,312,320,1120
818,1,301,320,1120
811,1,308,320,1120
809,0,311,320,1120
808,0,312,320,1120
817,0,303,320,1120
813,2,305,320,1120
814,0,306,320,1120
812,2,306,320,1120
810,0,310,320,1120
815,0,305,320,1120
813,0,307,320,1120
814,0,306,320,1120
812,1,307,320,1120
814,0,306,320,1120
805,0,315,320,1120
814,2,304,320,1120
815,2,303,320,1120
810,0,310,320,1120
804,1,315,320,1120
809,1,310,320,1120
813,0,307,320,1120
817,2,301,320,1120
814,0,306,320,1120
807,0,313,320,1120
810,0,310,320,1120
824,0,296,320,1120
817,1,302,320,1120
809,0,311,320,1120
811,0,309,320,1120
804,0,316,320,1120
819,1,300,320,1120
811,1,308,320,1120
811,0,309,320,1120
808,0,312,320,1120
812,0,308,320,1120
815,0,305,320,1120
816,0,304,320,1120
807,0,313,320,1120
816,0,304,320,1120
808,0,312,320,1120
819,0,301,320,1120
811,1,308,320,1120
816,0,304,320,1120
808,0,312,320,1120
816,0,304,320,1120
801,1,318,320,1120
815,0,305,320,1120
817,0,303,320,1120
807,0,313,320,1120
816,0,304,320,1120
820,1,299,320,1120
807,1,312,320,1120
813,0,307,320,1120
808,1,311,320,1120
813,0,307,320,1120
816,0,304,320,1120
820,0,300,320,1120
807,1,312,320,1120
812,0,308,320,1120
809,0,311,320,1120
811,1,308,320,1120
805,1,314,320,1120
809,0,311,320,1120
822,0,298,320,1120
806,0,314,320,1120
814,1,305,320,1120
816,1,303,320,1120
816,1,303,320,1120
811,1,308,320,1120
818,0,302,320,1120
811,1,308,320,1120
813,0,307,320,1120
811,0,309,320,1120
810,0,310,320,1120
811,2,307,320,1120
818,0,302,320,1120
