quiet_track_0,active_track_0,jailed_track_0,cop_track_0,agent_track_0
1120,0,0,400,1120
562,167,391,400,1120
511,11,598,400,1120
527,0,593,400,1120
544,0,576,400,1120
553,0,567,400,1120
563,0,557,400,1120
569,0,551,400,1120
581,1,538,400,1120
597,0,523,400,1120
602,0,518,400,1120
606,0,514,400,1120
617,0,503,400,1120
616,1,503,400,1120
630,0,490,400,1120
639,0,481,400,1120
652,0,468,400,1120
656,0,464,400,1120
674,0,446,400,1120
672,1,447,400,1120
686,1,433,400,1120
700,1,419,400,1120
710,1,409,400,1120
709,1,410,400,1120
720,0,400,400,1120
728,4,388,400,1120
748,3,369,400,1120
742,2,376,400,1120
739,2,379,400,1120
738,0,382,400,1120
740,0,380,400,1120
737,0,383,400,1120
735,0,385,400,1120
742,0,378,400,1120
747,1,372,400,1120
741,0,379,400,1120
741,0,379,400,1120
747,1,372,400,1120
752,1,367,400,1120
728,1,391,400,1120
743,0,377,400,1120
734,1,385,400,1120
741,0,379,400,1120
750,0,370,400,1120
737,1,382,400,1120
740,2,378,400,1120
739,0,381,400,1120
738,2,380,400,1120
750,2,368,400,1120
749,1,370,400,1120
746,2,372,400,1120
739,1,380,400,1120
742,2,376,400,1120
738,2,380,400,1120
741,0,379,400,1120
741,0,379,400,1120
743,0,377,400,1120
746,1,373,400,1120
743,0,377,400,1120
743,2,375,400,1120
734,2,384,400,1120
741,3,376,400,1120
733,1,386,400,1120
740,1,379,400,1120
743,1,376,400,1120
735,0,385,400,1120
748,0,372,400,1120
736,1,383,400,1120
738,1,381,400,1120
739,0,381,400,1120
740,0,380,400,1120
738,0,382,400,1120
746,0,374,400,1120
747,1,372,400,1120
746,1,373,400,1120
730,3,387,400,1120
735,1,384,400,1120
741,0,379,400,1120
734,1,385,400,1120
733,0,387,400,1120
744,1,375,400,1120
737,0,383,400,1120
729,1,390,400,1120
746,0,374,400,1120
729,0,391,400,1120
742,2,376,400,1120
733,0,387,400,1120
741,0,379,400,1120
747,0,373,400,1120
742,1,377,400,1120
740,1,379,400,1120
749,1,370,400,1120
748,1,371,400,1120
750,1,369,400,1120
744,0,376,400,1120
743,1,376,400,1120
742,0,378,400,1120
751,0,369,400,1120
744,1,375,400,1120
735,1,384,400,1120
741,1,378,400,1120
733,0,387,400,1120
740,0,380,400,1120
728,0,392,400,1120
744,0,376,400,1120
744,2,374,400,1120
741,0,379,400,1120
737,0,383,400,1120
739,1,380,400,1120
742,1,377,400,1120
741,0,379,400,1120
734,1,385,400,1120
746,0,374,400,1120
756,0,364,400,1120
737,1,382,400,1120
742,1,377,400,1120
740,2,378,400,1120
747,0,373,400,1120
742,0,378,400,1120
742,1,377,400,1120
737,0,383,400,1120
754,0,366,400,1120
737,1,382,400,1120
732,1,387,400,1120
741,1,378,400,1120
730,0,390,400,1120
739,0,381,400,1120
742,1,377,400,1120
749,1,370,400,1120
742,2,376,400,1120
735,2,383,400,1120
738,1,381,400,1120
738,0,382,400,1120
739,0,381,400,1120
751,0,369,400,1120
751,0,369,400,1120
740,2,378,400,1120
731,0,389,400,1120
737,0,383,400,1120
734,0,386,400,1120
746,1,373,400,1120
745,1,374,400,1120
745,1,374,400,1120
739,0,381,400,1120
737,1,382,400,1120
749,1,370,400,1120
746,2,372,400,1120
739,1,380,400,1120
738,0,382,400,1120
735,2,383,400,1120
748,1,371,400,1120
745,1,374,400,1120
744,2,374,400,1120
755,1,364,400,1120
743,1,376,400,1120
738,1,381,400,1120
734,1,385,400,1120
744,0,376,400,1120
748,0,372,400,1120
736,0,384,400,1120
736,1,383,400,1120
747,0,373,400,1120
744,1,375,400,1120
745,2,373,400,1120
749,1,370,400,1120
749,2,369,400,1120
744,1,375,400,1120
741,2,377,400,1120
738,2,380,400,1120
728,2,390,400,1120
737,0,383,400,1120
740,1,379,400,1120
734,1,385,400,1120
741,1,378,400,1120
727,2,391,400,1120
739,0,381,400,1120
731,1,388,400,1120
746,0,374,400,1120
744,0,376,400,1120
745,0,375,400,1120
743,1,376,400,1120
734,0,386,400,1120
742,1,377,400,1120
747,0,373,400,1120
743,1,376,400,1120
739,1,380,400,1120
737,0,383,400,1120
748,1,371,400,1120
742,1,377,400,1120
740,0,380,400,1120
739,1,380,400,1120
754,0,366,400,1120
735,2,383,400,1120
751,1,368,400,1120
733,0,387,400,1120
741,1,378,400,1120
740,1,379,400,1120
738,1,381,400,1120
730,0,390,400,1120
740,0,380,400,1120
734,3,383,400,1120
741,1,378,400,1120
742,2,376,400,1120
746,1,373,400,1120
737,0,383,400,1120
735,0,385,400,1120
729,1,390,400,1120
743,0,377,400,1120
736,2,382,400,1120
741,2,377,400,1120
736,0,384,400,1120
747,0,373,400,1120
743,0,377,400,1120
751,1,368,400,1120
741,2,377,400,1120
730,0,390,400,1120
740,0,380,400,1120
750,0,370,400,1120
745,1,374,400,1120
740,0,380,400,1120
740,1,379,400,1120
729,1,390,400,1120
734,1,385,400,1120
742,3,375,400,1120
736,0,384,400,1120
739,0,381,400,1120
743,0,377,400,1120
746,1,373,400,1120
748,2,370,400,1120
743,2,375,400,1120
736,0,384,400,1120
742,0,378,400,1120
745,1,374,400,1120
738,0,382,400,1120
740,0,380,400,1120
745,1,374,400,1120
740,0,380,400,1120
749,0,371,400,1120
744,0,376,400,1120
745,0,375,400,1120
745,2,373,400,1120
744,0,376,400,1120
749,2,369,400,1120
733,0,387,400,1120
737,0,383,400,1120
747,1,372,400,1120
734,0,386,400,1120
749,0,371,400,1120
751,1,368,400,1120
751,1,368,400,1120
731,1,388,400,1120
