quiet_0,active_0,jailed_0,quiet_1,active_1,jailed_1,quiet_2,active_2,jailed_2,quiet_3,active_3,jailed_3,quiet_4,active_4,jailed_4
1120,0,0,1120,0,0,1120,0,0,1120,0,0,1120,0,0
1063,13,44,1059,13,48,1081,3,36,1105,0,15,1101,0,19
986,39,95,1040,5,75,1084,0,36,1105,0,15,1101,0,19
764,201,155,1050,0,70,1083,0,37,1106,0,14,1101,0,19
640,267,213,1051,0,69,1084,0,36,1105,0,15,1102,0,18
643,209,268,1052,0,68,1085,0,35,1105,0,15,1102,0,18
645,154,321,1053,0,67,1086,0,34,1105,0,15,1102,0,18
647,98,375,1051,0,69,1086,0,34,1105,0,15,1101,0,19
672,33,415,1055,0,65,1084,0,36,1107,0,13,1101,0,19
701,0,419,1058,0,62,1087,0,33,1105,0,15,1103,0,17
711,0,409,1062,0,58,1085,0,35,1106,0,14,1101,0,19
732,0,388,1062,0,58,1086,0,34,1106,0,14,1101,0,19
742,0,378,1062,0,58,1085,0,35,1105,0,15,1102,0,18
754,0,366,1067,0,53,1089,0,31,1105,0,15,1101,0,19
765,0,355,1069,0,51,1087,0,33,1105,0,15,1103,0,17
778,0,342,1070,0,50,1087,0,33,1107,0,13,1103,0,17
796,0,324,1075,0,45,1087,0,33,1105,0,15,1103,0,17
809,0,311,1077,0,43,1086,0,34,1108,0,12,1102,0,18
822,0,298,1079,0,41,1089,0,31,1106,0,14,1102,0,18
836,0,284,1079,0,41,1087,0,33,1105,0,15,1103,0,17
860,0,260,1082,0,38,1091,0,29,1106,0,14,1101,0,19
872,0,248,1083,0,37,1091,0,29,1106,0,14,1101,0,19
884,0,236,1085,0,35,1091,0,29,1107,0,13,1103,0,17
901,0,219,1087,0,33,1092,0,28,1105,0,15,1103,0,17
917,0,203,1092,0,28,1091,0,29,1106,0,14,1103,0,17
941,0,179,1091,0,29,1093,0,27,1106,0,14,1101,0,19
948,0,172,1092,0,28,1095,0,25,1105,0,15,1103,0,17
962,0,158,1095,0,25,1094,0,26,1107,0,13,1102,0,18
979,0,141,1097,0,23,1094,0,26,1105,0,15,1103,0,17
996,0,124,1097,0,23,1094,0,26,1106,0,14,1102,0,18
1017,1,102,1097,0,23,1097,0,23,1106,0,14,1102,0,18
1029,0,91,1100,0,20,1096,0,24,1107,0,13,1103,0,17
1052,0,68,1099,0,21,1099,0,21,1106,0,14,1102,0,18
1066,0,54,1099,0,21,1096,0,24,1106,0,14,1102,0,18
1078,0,42,1100,0,20,1097,0,23,1110,0,10,1102,0,18
1087,0,33,1101,0,19,1095,0,25,1106,0,14,1103,0,17
1095,0,25,1100,0,20,1096,0,24,1105,0,15,1101,0,19
1095,0,25,1101,0,19,1096,0,24,1105,0,15,1101,0,19
1100,0,20,1100,0,20,1098,0,22,1105,0,15,1102,0,18
1098,0,22,1100,0,20,1096,0,24,1105,0,15,1102,0,18
1097,0,23,1101,0,19,1098,0,22,1106,0,14,1103,0,17
1097,0,23,1099,1,20,1099,0,21,1105,0,15,1102,0,18
